,Team Names,Home attendance,Per Game
0,Los Angeles Dodgers,3974309,49066
1,St. Louis Cardinals,3480393,42968
2,New York Yankees,3304404,40795
3,Chicago Cubs,3094865,38208
4,Los Angeles Angels,3023012,37321
5,Colorado Rockies,2993244,36954
6,Milwaukee Brewers,2923333,36091
7,Boston Red Sox,2915502,35994
8,Houston Astros,2857367,35276
9,Philadelphia Phillies,2727421,33672
10,San Francisco Giants,2707760,33429
11,Atlanta Braves,2654920,32777
12,New York Mets,2442532,30155
13,San Diego Padres,2396399,29585
14,Minnesota Twins,2303299,28436
15,Washington Nationals,2259781,27899
16,Arizona Diamondbacks,2135510,26364
17,Texas Rangers,2132994,26333
18,Cincinnati Reds,1809075,22334
19,Seattle Mariners,1791109,22112
20,Toronto Blue Jays,1750144,21607
21,Cleveland Indians,1738642,21465
22,Oakland Athletics,1670734,20626
23,Chicago White Sox,1649775,20622
24,Detroit Tigers,1501430,18536
25,Pittsburgh Pirates,1491439,18413
26,Kansas City Royals,1479659,18267
27,Baltimore Orioles,1307807,16146
28,Tampa Bay Rays,1178735,14552
29,Miami Marlins,811302,10016
