id_num,team,price,lat,long
01,Arizona Diamondbacks,$50.00 ,33.452922,-112.038669
02,Atlanta Braves,$37.00 ,33.74691,-84.391239
03,Baltimore Orioles,$46.00 ,39.285243,-76.620103
04,Boston Red Sox,$70.00 ,42.346613,-71.098817
05,Chicago Cubs,$65.00 ,41.947201,-87.656413
06,Chicago White Sox,$30.00 ,41.830883,-87.635083
07,Cincinnati Reds,$47.00 ,39.107183,-84.507713
08,Cleveland Indians,$62.00 ,41.495149,-81.68709
09,Colorado Rockies,$39.00 ,39.75698,-104.965329
10,Detroit Tigers,$38.00 ,42.346354,-83.059619
11,Houston Astros,$56.00 ,29.76045,-95.369784
12,Kansas City Royals,$47.00 ,39.10222,-94.583559
13,Los Angeles Angels,$49.00 ,33.799572,-117.889031
14,Los Angeles Dodgers,$46.00 ,34.072437,-118.246879
15,Miami Marlins,$28.00 ,25.954428,-80.238164
16,Milwaukee Brewers,$39.00 ,43.04205,-87.905599
17,Minnesota Twins,$45.00 ,44.974346,-93.259616
18,New York Mets,$39.00 ,40.75535,-73.843219
19,New York Yankees,$56.00 ,40.819782,-73.929939
20,Oakland Athletics,$37.00 ,37.74923,-122.196487
21,Philadelphia Phillies,$53.00 ,39.952313,-75.162392
22,Pittsburgh Pirates,$29.00 ,40.461503,-80.008924
23,San Diego Padres,$50.00 ,32.752148,-117.143635
24,San Francisco Giants,$49.00 ,37.77987,-122.389754
25,Seattle Mariners,$43.00 ,47.60174,-122.330829
26,St. Louis Cardinals,$56.00 ,38.629683,-90.188247
27,Tampa Bay Rays,$46.00 ,27.768487,-82.648191
28,Texas Rangers,$39.00 ,32.750156,-97.081117
29,Toronto Blue Jays,$32.00 ,43.641653,-79.3917
30,Washington Nationals,$39.00 ,38.87,-77.01
